Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_LP,LP_F1000,LP_F10000
4FGL J0129.0+6312 ,bcu  ,63.2118,9.892183e-12,7.0791095e-10,0.6493515,127.15824,2.1128832e-12,2.6921563,0.27826664,0.6666667,0.011127305,2.0363357e-12,1.8683476,1.4965385e-12,2.678872,31560000.0,866.79987,22.27,LogParabola      ,9.893935010069342e-12,7.078529959529499e-10,1.7224452907295378e-12
4FGL J0129.7+3436 ,bcu  ,34.6164,2.2789932e-12,2.0320431e-10,-27.591726,131.83041,3.7898775e-14,1.7718345,0.27983835,0.6666667,0.004627112,3.6644556e-14,1.0698906,2.7364897e-14,1.9842783,31560000.0,2739.544,22.4486,PowerLaw         ,1.581664950078724e-12,2.3130527136290974e-10,1.3468942650460366e-11
4FGL J0129.8+1440 ,fsrq ,14.6816,5.17488e-12,2.6688968e-10,-47.16234,136.66982,4.3521024e-12,2.6211982,0.16496366,0.6666667,0.008486665,4.218659e-12,2.2288048,3.6513353e-12,2.7014964,31560000.0,462.24603,22.4682,PowerLaw         ,4.899510201391056e-12,2.5749290286055186e-10,1.0547404157818335e-12
4FGL J0130.4-2129 ,bcu  ,-21.4998,1.5095455e-12,1.324554e-10,-79.478424,182.70346,1.3304362e-14,1.893465,0.058948863,0.6666667,0.00011262602,1.2393627e-14,1.9026254,1.2216936e-14,1.9350411,31560000.0,3333.234,22.6226,PowerLaw         ,1.3415096870041618e-12,1.360330028419627e-10,1.3786931817618052e-11
4FGL J0130.6+1844 ,bcu  ,18.7477,2.495264e-12,2.008248e-10,-43.1505,135.69498,1.05656525e-13,2.355771,-0.039226837,0.6666667,-4.2993586e-05,1.1287851e-13,2.3376186,1.13338714e-13,2.3310041,31560000.0,1446.1051,22.6592,PowerLaw         ,2.6987281182785984e-12,1.9058890333177848e-10,1.1239377886229093e-11
4FGL J0131.1+6120 ,bll  ,61.3372,1.7139302e-11,1.4861697e-09,-1.1678184,127.67886,1.1042229e-13,1.6605897,0.079657786,0.6666667,0.000521696,1.0504334e-13,1.5686753,9.943591e-14,1.7893045,31332582.0,4046.494,22.7924,LogParabola      ,1.7141596264890192e-11,1.4861553029361395e-09,2.410313191591798e-10
4FGL J0131.2+5547 ,bcu  ,55.7849,6.122006e-12,5.4502025e-10,-6.6514153,128.55211,1.03549954e-13,2.1312394,0.016724054,0.6666667,0.00040547503,1.04238836e-13,2.050752,1.0090772e-13,2.145321,31560000.0,2343.6597,22.8214,PowerLaw         ,5.879653589140992e-12,5.532489406858127e-10,3.7513873174578195e-11
4FGL J0132.7-1654 ,fsrq ,-16.9103,2.422628e-11,2.121998e-09,-76.018585,168.09999,1.6287836e-11,2.2689767,0.060738638,0.6666667,0.0018940482,1.5860188e-11,2.185707,1.5380242e-11,2.3434708,31560000.0,484.67804,23.176,LogParabola      ,2.4228844650853253e-11,2.121875781896299e-09,5.699737494740549e-11
4FGL J0132.7-0804 ,bcu  ,-8.0738,2.4404177e-12,2.0812367e-10,-68.58237,152.00343,2.3835685e-14,1.7628053,0.14686018,0.6666667,0.0014538182,2.218518e-14,1.4969358,1.9024311e-14,1.8770196,31560000.0,3367.1472,23.1832,PowerLaw         ,2.004876047970093e-12,2.2608405461521267e-10,2.287893101981801e-11
4FGL J0132.8-4413 ,bll  ,-44.2239,3.6319008e-12,3.0638375e-10,-70.986404,279.65857,2.0328689e-13,2.3225744,-0.05419044,0.6666667,-0.00017523974,2.2043498e-13,2.2987638,2.2294319e-13,2.2652907,31560000.0,1278.1234,23.2077,PowerLaw         ,4.0712554092092186e-12,2.8444827413305894e-10,2.1319016995043703e-11
4FGL J0132.8+4324 ,bcu  ,43.4041,2.769742e-12,2.2178237e-10,-18.82842,130.86559,2.2234183e-13,2.3108637,0.24928795,0.6666667,0.0060224645,2.0701098e-13,1.751437,1.6637428e-13,2.3372796,31560000.0,1281.5938,23.2185,PowerLaw         ,2.089355415945274e-12,2.6276353644200484e-10,2.673854208470158e-12
4FGL J0133.1-5201 ,bcu  ,-52.0202,1.8371863e-11,1.719801e-09,-63.902428,288.2558,8.810802e-12,2.2267685,0.08143023,0.6666667,0.002629179,8.568573e-12,2.0924473,8.189651e-12,2.323499,31560000.0,569.5427,23.2938,LogParabola      ,1.8374119843682714e-11,1.719694620605939e-09,4.295593031193909e-11
4FGL J0133.2-4533 ,bcu  ,-45.5586,9.189452e-13,7.099826e-11,-69.782936,281.38977,2.5393052e-15,0.8754942,0.6820912,0.6666667,0.0041805804,2.4116983e-15,0.0007324156,1.6844527e-15,1.7465668,31560000.0,7339.9946,23.3007,PowerLaw         ,7.339806024834079e-13,3.986420603021174e-11,1.6071379426012634e-11
4FGL J0134.3-3842 ,fsrq ,-38.7085,2.0196431e-12,1.3879899e-10,-75.3533,267.86542,3.7021785e-13,2.4290226,0.10308852,0.6666667,0.0034026343,3.603777e-13,2.1798356,3.2717104e-13,2.48977,31560000.0,831.91296,23.5887,PowerLaw         ,1.7915679474217813e-12,1.485745238562572e-10,2.2879266459256347e-12
4FGL J0134.5+2637 ,fsrq ,26.6294,9.941691e-12,8.871027e-10,-35.253414,134.73314,1.521115e-13,1.9531784,0.025712604,0.6666667,0.00051947706,1.5327262e-13,1.8461367,1.4644092e-13,1.9873419,31560000.0,2472.5994,23.6272,PowerLaw         ,9.443821452047887e-12,9.047871336667482e-10,8.778658565544415e-11
4FGL J0135.0+5338 ,bcu  ,53.6351,1.6150094e-12,2.9114466e-10,-8.683987,129.44702,3.7557956e-13,2.1618247,0.7184098,0.6666667,0.024964085,3.641123e-13,0.20774023,2.1011257e-13,2.5145621,31560000.0,1129.3872,23.7639,LogParabola      ,1.6152132687073711e-12,2.910765185832104e-10,2.4175904578249947e-13
4FGL J0135.1+0255 ,bcu  ,2.917,1.1775521e-12,8.070305e-11,-58.16204,143.94388,1.5785269e-15,1.5844393,0.080055185,0.6666667,0.0006804134,1.6629564e-15,1.2810487,1.3236446e-15,1.6322949,31560000.0,9694.338,23.7769,PowerLaw         ,1.1650887259416879e-12,7.862543986790776e-11,1.9476113813125546e-11
4FGL J0136.5+3906 ,bll  ,39.1,5.0622395e-11,4.533686e-09,-22.938679,132.42177,1.1770983e-12,1.5612808,0.08195785,0.6666667,0.0009645423,1.1232427e-12,1.4466976,1.0536965e-12,1.7168688,31560000.0,1869.8713,24.1423,LogParabola      ,5.0629319251956777e-11,4.533633300298328e-09,6.915538121972508e-10
4FGL J0137.0+4751 ,fsrq ,47.8637,3.6380572e-11,3.637138e-09,-14.310297,130.79832,1.1750715e-11,2.1962276,0.098712355,0.6666667,0.0029294533,1.1372262e-11,2.0231383,1.0661297e-11,2.3015184,31332582.0,687.73676,24.2603,LogParabola      ,3.638547263098188e-11,3.6369006554009e-09,8.870212563813363e-11
4FGL J0137.6-2430 ,fsrq ,-24.5163,1.3630651e-11,9.398605e-10,-79.287186,201.39598,1.902064e-11,2.4062715,0.11585767,0.6666667,0.0049065654,1.8352668e-11,2.2278576,1.733077e-11,2.536223,31560000.0,378.75708,24.4069,LogParabola      ,1.363194936528251e-11,9.39804964236967e-10,9.223315502914426e-12
