Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_PLEC,PLEC_F1000,PLEC_F10000
4FGL J1935.2+2029 ,PSR  ,20.4908,2.5301733e-11,2.5529234e-09,0.065383896,56.05722,1.8890603e-12,2.8368556,0.37994206,0.6666667,0.015457708,1.949119e-12,1.3891244,1.2358848e-12,2.6168418,31560000.0,1410.6537,293.8179,PLSuperExpCutoff ,3.6209755816042157e-12,3.652488578562933e-10,1.7268294368983623e-13
4FGL J1939.6+2135 ,PSR  ,21.5918,1.5612723e-11,2.2632358e-09,-0.29455826,57.521698,7.847242e-13,2.5816045,0.41274926,0.6666667,0.01234788,7.967755e-13,1.1479492,4.809785e-13,2.4834495,31560000.0,1892.0155,294.9221,PLSuperExpCutoff ,2.3615820420623624e-12,3.4225431100416144e-10,8.457134003276963e-13
4FGL J1946.5-5402 ,PSR  ,-54.0496,8.925149e-12,1.7392562e-09,-29.572353,343.89774,1.093295e-12,2.2761972,0.58650243,0.6666667,0.024137042,1.1671569e-12,0.0004365856,6.694688e-13,2.2415025,31560000.0,1472.3806,296.6322,PLSuperExpCutoff ,3.9262572336175307e-13,7.64926165929069e-11,2.2449987481983055e-14
4FGL J1952.9+3252 ,PSR  ,32.883,1.5068194e-10,2.0124837e-08,2.822558,68.77147,2.0141873e-11,2.1724648,0.27828667,0.6666667,0.008324859,1.9413556e-11,1.457262,1.4909358e-11,2.2813923,31560000.0,1176.222,298.2473,PLSuperExpCutoff ,5.960213499164255e-11,7.958631160011949e-09,5.1020570974883794e-11
4FGL J1954.3+2836 ,PSR  ,28.6026,1.0800408e-10,1.4950437e-08,0.37318152,65.247505,8.462446e-12,2.1931753,0.3240313,0.6666667,0.00787611,8.17178e-12,1.4251106,6.2541443e-12,2.318422,31560000.0,1521.4346,298.5854,PLSuperExpCutoff ,3.810845026756711e-11,5.2740449988634034e-09,4.297014271349878e-11
4FGL J1957.6+5033 ,PSR  ,50.5598,2.5389696e-11,3.3865493e-09,11.019008,84.5863,1.1681664e-11,2.0901203,0.67676616,0.6666667,0.028491035,1.12852765e-11,0.3839761,7.5236085e-12,2.4119449,31560000.0,775.4432,299.4058,PLSuperExpCutoff ,2.2926858740465706e-12,3.0568370014068994e-10,8.650928864298075e-15
4FGL J1958.7+2846 ,PSR  ,28.7704,1.0529767e-10,1.5464114e-08,-0.3570589,65.888145,1.0836317e-11,2.2136238,0.39741933,0.6666667,0.010976442,1.0481612e-11,1.19562,7.6140465e-12,2.3401957,31560000.0,1403.1808,299.6761,PLSuperExpCutoff ,2.6607443387524636e-11,3.906699797836975e-09,1.4846849094450393e-11
4FGL J1959.5+2048 ,PSR  ,20.8085,1.6065128e-11,2.3291125e-09,-4.691877,59.198574,1.9891612e-12,2.3261347,0.4394736,0.6666667,0.0141396215,1.9514013e-12,1.0562149,1.3300873e-12,2.3799093,31560000.0,1308.1543,299.899,PLSuperExpCutoff ,2.961033279926794e-12,4.2917835985252667e-10,6.44296399784492e-13
4FGL J2006.2+3102 ,PSR  ,31.0446,1.0817807e-11,1.705328e-09,-0.5386672,68.685074,3.9170067e-13,2.459314,0.4180368,0.6666667,0.010464533,3.9514675e-13,1.09581,2.5425687e-13,2.4195828,31560000.0,2276.2476,301.5661,PLSuperExpCutoff ,1.7692410534335987e-12,2.7884589701547606e-10,1.5604804031132882e-12
4FGL J2006.4+0147 ,PSR  ,1.798,2.9787366e-12,4.874973e-10,-15.774228,43.38119,9.077719e-14,1.9502554,0.41744748,0.6666667,0.007441174,8.706215e-14,0.8720093,5.759751e-14,2.0700715,31560000.0,2658.006,301.6243,PLSuperExpCutoff ,7.144695679682025e-13,1.1691285777431165e-10,3.1581587980206994e-12
